,class_name,f1-score
33,edamame,0.984
63,macarons,0.9535353535353536
69,oysters,0.9444444444444443
64,miso_soup,0.9409368635437882
30,deviled_eggs,0.9385245901639345
91,spaghetti_carbonara,0.932
75,pho,0.9315068493150684
54,hot_and_sour_soup,0.9315068493150684
90,spaghetti_bolognese,0.9304174950298212
7,bibimbap,0.928
88,seaweed_salad,0.9252525252525253
76,pizza,0.9252525252525253
51,guacamole,0.9224489795918367
40,french_fries,0.9189189189189189
35,escargots,0.9176954732510287
97,takoyaki,0.9072978303747535
45,frozen_yogurt,0.9065606361829026
68,onion_rings,0.906054279749478
55,hot_dog,0.9046653144016227
86,sashimi,0.9033530571992111
78,poutine,0.9021276595744679
32,dumplings,0.899803536345776
61,lobster_roll_sandwich,0.8982035928143712
70,pad_thai,0.8974854932301741
27,creme_brulee,0.896414342629482
34,eggs_benedict,0.8962818003913895
65,mussels,0.8932038834951457
29,cup_cakes,0.8888888888888887
25,club_sandwich,0.8839103869653767
20,chicken_wings,0.8817635270541083
24,clam_chowder,0.8814229249011858
100,waffles,0.8806262230919765
12,cannoli,0.8803245436105477
83,red_velvet_cake,0.8801652892561983
23,churros,0.8773946360153257
81,ramen,0.8757396449704142
38,fish_and_chips,0.8752556237218814
74,peking_duck,0.8683127572016461
17,cheese_plate,0.868
28,croque_madame,0.8618556701030927
44,fried_rice,0.8617886178861788
52,gyoza,0.861344537815126
72,pancakes,0.8610567514677105
31,donuts,0.8605577689243028
6,beignets,0.8599605522682445
60,lobster_bisque,0.859375
2,baklava,0.8531187122736418
19,chicken_quesadilla,0.8508946322067595
85,samosa,0.8488612836438922
95,sushi,0.847870182555781
11,caesar_salad,0.8457142857142858
41,french_onion_soup,0.8452380952380952
53,hamburger,0.8445378151260504
92,spring_rolls,0.8416666666666667
80,pulled_pork_sandwich,0.838445807770961
71,paella,0.8360655737704918
66,nachos,0.8350730688935283
1,baby_back_ribs,0.8336842105263157
13,caprese_salad,0.8316008316008316
62,macaroni_and_cheese,0.8306451612903225
48,greek_salad,0.8287937743190661
3,beef_carpaccio,0.8265107212475633
43,fried_calamari,0.8194174757281555
94,strawberry_shortcake,0.8183632734530939
79,prime_rib,0.8133595284872298
14,carrot_cake,0.8122448979591836
9,breakfast_burrito,0.810126582278481
98,tiramisu,0.8080808080808082
46,garlic_bread,0.8059071729957805
73,panna_cotta,0.7909836065573771
57,hummus,0.7887323943661971
36,falafel,0.785862785862786
4,beef_tartare,0.7839388145315488
18,chicken_curry,0.7818930041152264
58,ice_cream,0.7764227642276423
47,gnocchi,0.7680311890838205
49,grilled_cheese_sandwich,0.7666034155597724
59,lasagna,0.7617021276595743
10,bruschetta,0.7577639751552796
21,chocolate_cake,0.7543520309477757
84,risotto,0.7509293680297398
96,tacos,0.7500000000000001
50,grilled_salmon,0.7486033519553073
26,crab_cakes,0.744
89,shrimp_and_grits,0.7432950191570882
5,beet_salad,0.7347740667976426
16,cheesecake,0.7344398340248962
42,french_toast,0.7229357798165138
67,omelette,0.72
56,huevos_rancheros,0.7127882599580714
87,scallops,0.710204081632653
82,ravioli,0.6862385321100917
15,ceviche,0.6826347305389222
22,chocolate_mousse,0.6666666666666667
99,tuna_tartare,0.6613226452905812
37,filet_mignon,0.6595365418894831
8,bread_pudding,0.6534216335540838
39,foie_gras,0.6509803921568627
77,pork_chop,0.6460905349794239
0,apple_pie,0.621676891615542
93,steak,0.5228215767634855
